category,item
Souvenir,A plastic solar powered waving cat from our airbnb host in Tokyo
Souvenir,A tacky rhinestoned gecko figure from Greece
Souvenir,A troll doll
Souvenir,Accidental ashtray purchase
Souvenir,Ampelmann bottle opener
Souvenir,an egg keychain
Souvenir,an inflatable boat
Souvenir,big fluffy mario
Souvenir,Black Q-Tips
Souvenir,Bobblehead
Souvenir,Book
Souvenir,Bracelet
Souvenir,Bracelts
Souvenir,Caricature portraits
Souvenir,Cat statue
Souvenir,Ceramic cat
Souvenir,ceramic vase
Souvenir,Coffee Cup
Souvenir,Collapsable moose 
Souvenir,Comfort women bracelet
Souvenir,damaged postcard
Souvenir,fertility statue
Souvenir,Fidget Spinner
Souvenir,Finger nail clippers
Souvenir,fish earrings
Souvenir,French Cat Teatowel
Souvenir,fridge magnet
Souvenir,Fridge magnets
Souvenir,Glass bottles
Souvenir,Glassware
Souvenir,Helicopter instrument clock
Souvenir,Hunky bath salts
Religious,Infant of Prague
Souvenir,keyring nail clippers
Souvenir,kitchen witch
Souvenir,kitchenware
Souvenir,Le tour de france ragt cow keyring 
Souvenir,Lighter
Souvenir,Magic the gathering cards
Souvenir,magnets
Souvenir,Malaysian fruit forks
Souvenir,Maltese Muppet mug
Souvenir,Mask
Souvenir,Mini clay vase
Souvenir,Mountain troll
Souvenir,nail clippers
Souvenir,NFL nesting dolls
Souvenir,norway flag moose
Souvenir,Obelisk
Souvenir,Origami paper stamp
Souvenir,Ostrich Egg artwork
Souvenir,paper hairy cow
Souvenir,Patrick star purse 
Souvenir,Pencil sharpener
Souvenir,Plastic glow mouse
Souvenir,Plastic plant
Souvenir,Platform 9 3/4 ticket
Clothing,Rain poncho
Souvenir,Saad Hariri Mug
Souvenir,Salt shaker
Souvenir,Sheep Shagger Mug
Souvenir,Silk cushion 
Souvenir,sim cards
Souvenir,Slot winning doll
Souvenir,Small dolphin toy
Souvenir,Small painting of a bathtub
Souvenir,Springbok bottle opener
Souvenir,SSJ Rose Goku
Souvenir,Stick-on mustache
Souvenir,String
Souvenir,Stuffed frogs
Souvenir,Super mario block pocket watch
Souvenir,Tablecloth
Souvenir,Towel
Souvenir,Tuanis Magnet
Souvenir,Viking Middle Finger
Souvenir,Weird stuffed animal
Souvenir,Witch flask Bolivia
Souvenir,Wooden Coatí
Weapon,Axe
Weapon,Bullet casing
Weapon,Bullet casing
Weapon,catapult
Weapon,Gun target
Weapon,Hawaiian war club
Weapon,Israeli rubber bullet
Weapon,Katana
Weapon,Kenyan spears
Weapon,lost Swiss knife
Weapon,Nail i forged
Weapon,Nepali hunting knife
Weapon,Spears from Kenya
Weapon,Supreme butterfly knife
Weapon,Sword
